Nova name                     | Coordinates           | Eruption date | mag. | Comments
OGLE-2001-NOVA-01             | 04:48:57.50 -69:55:35.7 | 2001-09-13 | 13.3  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 2001-06a                 | 05:24:00.00 -71:10:00.0 | 2001-06-06 |  9.7  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 2000-07a                 | 05:25:01.10 -70:14:17.0 | 2000-07-12 | 10.1  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1999-09a                 | 00:59:23.00 -73:07:56.0 | 1999-09-18 | 12.8  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1999-09a                 | 05:19:55.79 -70:27:53.4 | 1999-09-10 | 12.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1999-08a                 | 00:48:51.70 -72:30:15.0 | 1999-08-03 | 13.0  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
SMCN 1999-07a                 | 00:53:40.00 -72:12:32.0 | 1999-07-28 | 13.6  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
SMCN 1998-12a                 | 01:02:21.80 -73:18:27.0 | 1998-12-25 | 13.5  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1997-06a                 | 05:04:26.70 -67:38:38.0 | 1997-06-16 | 13.5  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1996-06a                 | 00:54:43.04 -72:32:20.8 | 1996-06-04 | 13.5  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1995-02a                 | 05:26:50.33 -70:01:23.8 | 1995-02-25 | 10.2  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1994-06a                 | 00:51:29.70 -73:19:39.7 | 1994-06-01 | 14.5  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1992-11a                 | 05:19:19.82 -68:54:35.0 | 1992-11-13 | 10.2  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1991-04a                 | 05:03:44.99 -70:18:13.5 | 1991-04-16 |  8.8  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1990-02a                 | 05:09:58.28 -71:39:51.4 | 1990-02-14 | 10.2  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1990-01a                 | 05:23:21.83 -69:29:48.4 | 1990-01-16 |  9.7  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1988-10a                 | 05:08:01.28 -68:37:37.6 | 1988-10-13 | 10.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1988-03a                 | 05:35:29.30 -70:21:29.3 | 1988-03-21 | 11.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1987-09a                 | 05:23:50.32 -70:00:44.7 | 1987-09-17 |  9.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1986-10a                 | 00:36:55.69 -72:04:50.5 | 1986-10-05 | 10.1  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1981-09a                 | 05:32:09.28 -70:22:11.6 | 1981-09-30 | 11.8  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1978-11a                 | 05:00:59.65 -67:12:44.8 | 1978-11-02 | 16    | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1978-03a                 | 05:05:52.26 -65:53:02.7 | 1978-03-29 |  9.7  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1977-03a                 | 05:05:10.87 -70:09:01.5 | 1977-03-12 | 10.7  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1977-02a                 | 06:05:45.50 -68:38:12.7 | 1977-02-26 | 12.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1974-08a                 | 00:26:01.20 -74:01:05.0 | 1974-08-19 | 11.0  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1973-09a                 | 05:15:18.38 -69:39:22.9 | 1972-11-19 | 11.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1972-08a                 | 05:28:27.42 -68:48:51.3 | 1972-08-22 | 11.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1971-08a                 | 05:40:35.64 -66:40:17.5 | 1971-05-08 | 13.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
